name,translation,zip_code,state_name,state_abbreviation,city,latitude,longitude
Alabama A & M University,阿拉巴马州A＆M大学,35762,Alabama,AL,Normal,34.783368,-86.568502
University of Alabama at Birmingham,阿拉巴马大学伯明翰分校,35294-0110,Alabama,AL,Birmingham,33.50223,-86.80917
Amridge University,Amridge大学,36117-3553,Alabama,AL,Montgomery,32.362609,-86.17401
University of Alabama in Huntsville,阿拉巴马大学亨茨维尔分校,35899,Alabama,AL,Huntsville,34.722818,-86.63842
Alabama State University,阿拉巴马州立大学,36104-0271,Alabama,AL,Montgomery,32.364317,-86.295677
The University of Alabama,阿拉巴马大学,35487-0166,Alabama,AL,Tuscaloosa,33.2144,-87.545766
Athens State University,雅典州立大学,35611,Alabama,AL,Athens,34.805625,-86.96514
Auburn University at Montgomery,奥本大学蒙哥马利,36117-3596,Alabama,AL,Montgomery,32.369939,-86.177351
Auburn University,奥本大学,36849,Alabama,AL,Auburn University,32.600201,-85.492409
Birmingham Southern College,伯明翰南方学院,35254,Alabama,AL,Birmingham,33.515453,-86.853636
Concordia College Alabama,康考迪亚学院阿拉巴马,36701,Alabama,AL,Selma,32.42443,-87.023531
Faulkner University,福克纳大学,36109-3378,Alabama,AL,Montgomery,32.384181,-86.21641
Huntingdon College,亨廷登学院,36106-2148,Alabama,AL,Montgomery,32.350939,-86.285313
Heritage Christian University,文物基督教大学,35630-9977,Alabama,AL,Florence,34.859089,-87.662062
Jacksonville State University,杰克逊维尔州立大学,36265,Alabama,AL,Jacksonville,33.822128,-85.766644
Judson College,贾德森学院,36756,Alabama,AL,Marion,32.630526,-87.316127
University of West Alabama,西阿拉巴马大学,35470,Alabama,AL,Livingston,32.59244,-88.186077
Miles College,万里学院,35064-2621,Alabama,AL,Fairfield,33.481306,-86.908605
University of Mobile,移动的大学,36613-2842,Alabama,AL,Mobile,30.793247,-88.128934
University of Montevallo,蒙特瓦洛大学,35115-6000,Alabama,AL,Montevallo,33.10625,-86.865099
University of North Alabama,北阿拉巴马大学,35632-0001,Alabama,AL,Florence,34.80658,-87.680999
Oakwood University,奥克伍德大学,35896,Alabama,AL,Huntsville,34.756628,-86.661628
Samford University,桑福德大学,35229-2240,Alabama,AL,Birmingham,33.464578,-86.790932
Selma University,塞尔玛大学,36701,Alabama,AL,Selma,32.420358,-87.033826
University of South Alabama,南阿拉巴马大学,36688-0002,Alabama,AL,Mobile,30.695081,-88.18189
Spring Hill College,斯普林希尔学院,36608-1791,Alabama,AL,Mobile,30.694751,-88.138199
Southeastern Bible College,东南圣经学院,35224-2083,Alabama,AL,Birmingham,33.378935,-86.749045
Stillman College,斯蒂尔曼学院,35403,Alabama,AL,Tuscaloosa,33.199228,-87.585242
Talladega College,塔拉迪加学院,35160,Alabama,AL,Talladega,33.434258,-86.113675
Troy University,特洛伊大学,36082-0001,Alabama,AL,Troy,31.800128,-85.950191
Tuskegee University,塔斯基吉大学,36088-1920,Alabama,AL,Tuskegee,32.431021,-85.710315
United States Sports Academy,美国体育学院,36526-7055,Alabama,AL,Daphne,30.639329,-87.91163
University of Alaska Anchorage,阿拉斯加安克雷奇大学,99508,Alaska,AK,Anchorage,61.189554,-149.826135
Alaska Bible College,阿拉斯加圣经学院,99645,Alaska,AK,Palmer,61.59843,-149.111341
University of Alaska Fairbanks,阿拉斯加大学费尔班克斯分校,99775-7500,Alaska,AK,Fairbanks,64.857053,-147.824751
University of Alaska Southeast,阿拉斯加东南大学,99801-8697,Alaska,AK,Juneau,58.38427,-134.636346
Alaska Pacific University,阿拉斯加太平洋大学,99508,Alaska,AK,Anchorage,61.191235,-149.804242
Thunderbird School of Global Management,雷鸟全球管理学院,85306-6000,Arizona,AZ,Glendale,33.620887,-112.180861
American Indian College of the Assemblies of God Inc,神公司的大会的美国印第安学院,85021,Arizona,AZ,Phoenix,33.577738,-112.092247
College America-Flagstaff,学院美国，弗拉格斯塔夫,86004,Arizona,AZ,Flagstaff,35.211152,-111.604793
Arizona State University-Tempe,亚利桑那州立大学，坦佩,85287,Arizona,AZ,Tempe,33.421922,-111.940011
University of Arizona,亚利桑那大学,85721-0066,Arizona,AZ,Tucson,32.232071,-110.950769
Embry-Riddle Aeronautical University-Prescott,安柏瑞德航空航天大学 - 普雷斯科特,86301-3720,Arizona,AZ,Prescott,34.615678,-112.452285
Frank Lloyd Wright School of Architecture,建筑弗兰克·劳埃德·赖特学校,85261-4430,Arizona,AZ,Scottsdale,33.60715,-111.846477
Dine College,用餐学院,86556,Arizona,AZ,Tsaile,36.293328,-109.21684
Northern Arizona University,北亚利桑那大学,86011-4132,Arizona,AZ,Flagstaff,35.180095,-111.657653
Ottawa University-Phoenix,渥太华大学，凤凰城,85021,Arizona,AZ,Phoenix,33.577907,-112.113447
Prescott College,普雷斯科特学院,86301,Arizona,AZ,Prescott,34.5445,-112.476509
Arizona Christian University,亚利桑那州基督教大学,85032-7097,Arizona,AZ,Phoenix,33.595117,-112.026211
University of Arkansas at Little Rock,阿肯色大学小石城分校,72204,Arkansas,AR,Little Rock,34.726644,-92.341835
University of Arkansas for Medical Sciences,阿肯色大学医学院,72205-7199,Arkansas,AR,Little Rock,34.749718,-92.320945
Arkansas Baptist College,阿肯色浸会学院,72202-6068,Arkansas,AR,Little Rock,34.734751,-92.290555
Lyon College,里昂学院,72501,Arkansas,AR,Batesville,35.778934,-91.628115
University of Arkansas,阿肯色大学,72701,Arkansas,AR,Fayetteville,36.06153,-94.178214
University of Arkansas at Pine Bluff,阿肯色大学派恩布拉夫,71601,Arkansas,AR,Pine Bluff,34.242192,-92.021263
Arkansas State University-Main Campus,阿肯色州州立大学主校区,72401,Arkansas,AR,Jonesboro,35.842779,-90.680478
Arkansas Tech University,阿肯色理工大学,72801-2222,Arkansas,AR,Russellville,35.295227,-93.13233
University of Arkansas at Monticello,阿肯色大学蒙蒂塞洛,71656,Arkansas,AR,Monticello,33.589788,-91.812971
University of Central Arkansas,中阿肯色大学,72035-0001,Arkansas,AR,Conway,35.078196,-92.45931
Central Baptist College,中央浸会学院,72034,Arkansas,AR,Conway,35.084574,-92.444102
Crowley's Ridge College,Crowley的里奇学院,72450,Arkansas,AR,Paragould,36.066239,-90.58482
Harding University,哈丁大学,72143,Arkansas,AR,Searcy,35.249605,-91.729008
Henderson State University,亨德森州立大学,71999-0001,Arkansas,AR,Arkadelphia,34.127792,-93.060313
Hendrix College,亨德里克斯学院,72032-3080,Arkansas,AR,Conway,35.09972,-92.442021
John Brown University,约翰·布朗大学,72761,Arkansas,AR,Siloam Springs,36.191077,-94.559088
Ouachita Baptist University,沃希托浸会大学,71998-0001,Arkansas,AR,Arkadelphia,34.125045,-93.052442
University of the Ozarks,奥沙克大学,72830,Arkansas,AR,Clarksville,35.477785,-93.467924
Philander Smith College,菲兰德史密斯学院,72202-3799,Arkansas,AR,Little Rock,34.73666,-92.28242
Williams Baptist College,威廉姆斯浸会学院,72476,Arkansas,AR,Walnut Ridge,36.126825,-90.939876
Southern Arkansas University Main Campus,南部的阿肯色大学主校区,71753,Arkansas,AR,Magnolia,33.291195,-93.235087
University of Arkansas-Fort Smith,阿肯色州史密斯堡大学,72913-3649,Arkansas,AR,Fort Smith,35.385345,-94.374073
Academy of Chinese Culture and Health Sciences,中国文化与健康科学学院,94612,California,CA,Oakland,37.806662,-122.272733
American Baptist Seminary of the West,西方的美国浸信会神学院,94704-3029,California,CA,Berkeley,37.865252,-122.256149
American Film Institute Conservatory,美国电影学院学院,90027-1625,California,CA,Los Angeles,34.10846,-118.309989
American Conservatory Theater,美国戏剧学院,94108-5834,California,CA,San Francisco,37.787326,-122.404945
Art Center College of Design,艺术中心设计学院,91103,California,CA,Pasadena,34.170844,-118.186901
Azusa Pacific University,阿苏萨太平洋大学,91702-7000,California,CA,Azusa,34.130865,-117.88795
Bethesda University of California,加州大学贝塞斯达,92801,California,CA,Anaheim,33.842295,-117.941323
Biola University,拜欧拉大学,90639-0001,California,CA,La Mirada,33.904823,-118.017342
